date,tournament,season,road_team,road_runs,home_team,home_runs,round,tier,neutral
2000-09-17,Olympics,2000,AUS,4,NED,6,,1.0,True
2000-09-17,Olympics,2000,CUB,16,RSA,0,,1.0,True
2000-09-17,Olympics,2000,ITA,2,KOR,10,,1.0,True
2000-09-17,Olympics,2000,USA,4,JPN,2,,1.0,True
2000-09-18,Olympics,2000,CUB,13,ITA,5,,1.0,True
2000-09-18,Olympics,2000,JPN,10,NED,2,,1.0,True
2000-09-18,Olympics,2000,KOR,3,AUS,5,,1.0,True
2000-09-18,Olympics,2000,USA,11,RSA,1,,1.0,True
2000-09-19,Olympics,2000,AUS,3,JPN,7,,1.0,True
2000-09-19,Olympics,2000,KOR,5,CUB,6,,1.0,True
2000-09-19,Olympics,2000,NED,2,USA,6,,1.0,True
2000-09-19,Olympics,2000,RSA,0,ITA,13,,1.0,True
2000-09-20,Olympics,2000,ITA,1,JPN,6,,1.0,True
2000-09-20,Olympics,2000,NED,4,CUB,2,,1.0,True
2000-09-20,Olympics,2000,RSA,4,AUS,10,,1.0,True
2000-09-20,Olympics,2000,USA,4,KOR,0,,1.0,True
2000-09-22,Olympics,2000,CUB,1,AUS,0,,1.0,True
2000-09-22,Olympics,2000,KOR,2,NED,0,,1.0,True
2000-09-22,Olympics,2000,RSA,0,JPN,8,,1.0,True
2000-09-22,Olympics,2000,USA,4,ITA,2,,1.0,True
2000-09-23,Olympics,2000,AUS,7,ITA,8,,1.0,True
2000-09-23,Olympics,2000,CUB,6,USA,1,,1.0,True
2000-09-23,Olympics,2000,JPN,6,KOR,7,,1.0,True
2000-09-23,Olympics,2000,NED,2,RSA,3,,1.0,True
2000-09-24,Olympics,2000,AUS,1,USA,12,,1.0,True
2000-09-24,Olympics,2000,ITA,2,NED,3,,1.0,True
2000-09-24,Olympics,2000,JPN,2,CUB,6,,1.0,True
2000-09-24,Olympics,2000,KOR,13,RSA,3,,1.0,True
2000-09-26,Olympics,2000,CUB,3,JPN,0,,1.0,True
2000-09-26,Olympics,2000,USA,3,KOR,2,,1.0,True
2000-09-27,Olympics,2000,CUB,0,USA,4,,1.0,True
